Abstract,Authors,Categories,Countries,Date,Day,Locations,MonthName,Publisher,SJR Best Quartile,Title,Type,Universities,WebSite,Year,_id
"The wide proliferation of various wireless communication systems and wireless devices has led to the arrival of big data era in large-scale wireless networks. Big data of large-scale wireless networks has the key features of wide variety, high volume, real-time velocity, and huge value leading to the unique research challenges that are different from existing computing systems. In this article, we present a survey of the state-of-art big data analytics (BDA) approaches for large-scale wireless networks. In particular, we categorize the life cycle of BDA into four consecutive stages: Data Acquisition, Data Preprocessing, Data Storage, and Data Analytics. We then present a detailed survey of the technical solutions to the challenges in BDA for large-scale wireless networks according to each stage in the life cycle of BDA. Moreover, we discuss the open research issues and outline the future directions in this promising area.","[Hong-Ning Dai, Raymond Chi-Wing Wong, Hao Wang, Zibin Zheng, Athanasios V. Vasilakos]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Macau, Hong Kong, Norway, P. R. China, Sweden]",13 September 2019,13,"[Macau University of Science and Technology, Avenida Wai Long, Taipa, Macau, The Hong Kong University of Science and Technology (HKUST), Clear Water Bay, Kowloon, Hong Kong, Norwegian University of Science and Technology, Norway, Sun Yat-sen University, Guangzhou, P. R. China, Lulea University of Technology, Lulea, Sweden]",September,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Macau University of Science and Technology, The Hong Kong University of Science and Technology (HKUST), Norwegian University of Science and Technology, Sun Yat-sen University, Lulea University of Technology]",ACM,2019,63ae010034ac983172e7ec81
"Distributed Denial of Service attack (DDoS) is recognized to be one of the most catastrophic attacks against various digital communication entities. Software-defined networking (SDN) is an emerging technology for computer networks that uses open protocols for controlling switches and routers placed at the network edges by using specialized open programmable interfaces. In this article, a detailed study on DDoS threats prevalent in SDN is presented. First, SDN features are examined from the perspective of security, and then a discussion on SDN security features is done. Further, two viewpoints on protecting networks against DDoS attacks are presented. In the first view, SDN utilizes its abilities to secure conventional networks. In the second view, SDN may become a victim of the threat itself because of the centralized control mechanism. The main focus of this research work is on discovering critical security implications in SDN while reviewing the current ongoing research studies. By emphasizing the available state-of-the-art techniques, an extensive review of the advancement of SDN security is provided to the research and IT communities.","[Rochak Swami, Mayank Dave, Virender Ranga]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[India, India, India]",09 April 2019,9,"[National Institute of Technology, Kurukshetra, Haryana, India, National Institute of Technology, Kurukshetra, Haryana, India, National Institute of Technology, Kurukshetra, Haryana, India]",April,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[National Institute of Technology, National Institute of Technology, National Institute of Technology]",ACM,2019,63ae010034ac983172e7ec82
"Online Social Networks (OSNs) incorporate different forms of interactive communication, including microblogging services, multimedia sharing, business networking, and so on. They allow users to create profiles, connect with friends, and share their daily activities and thoughts. However, this ease of use of OSNs comes with a cost in terms of users’ privacy and security. The big amount of personal data shared in the users’ profiles or correlated from their activities can be stored, processed, and sold for advertisement or statistical purposes. It attracts also malicious users who can collect and exploit the data and target different types of attacks. In this article, we review the state of the art of OSNs existing either in the literature or deployed for use. We focus on the OSN systems that offer, but not exclusively, microblogging services. We analyze and evaluate each system based on a set of characteristics, and we compare them based on their usability and the level of protection of privacy and security they provide. This study is a first step toward understanding the security and privacy controls and measuring their level in an OSN.","[Samia Oukemeni, Helena Rifà-Pous, Joan Manuel Marquès Puig]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Spain, Spain, Spain]",18 June 2019,18,"[Universitat Oberta de Catalunya, Barcelona, Spain, Universitat Oberta de Catalunya, Barcelona, Spain, Universitat Oberta de Catalunya, Barcelona, Spain]",June,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Universitat Oberta de Catalunya, Universitat Oberta de Catalunya, Universitat Oberta de Catalunya]",ACM,2019,63ae010034ac983172e7ec83
"Interest in processing big data has increased rapidly to gain insights that can transform businesses, government policies, and research outcomes. This has led to advancement in communication, programming, and processing technologies, including cloud computing services and technologies such as Hadoop, Spark, and Storm. This trend also affects the needs of analytical applications, which are no longer monolithic but composed of several individual analytical steps running in the form of a workflow. These big data workflows are vastly different in nature from traditional workflows. Researchers are currently facing the challenge of how to orchestrate and manage the execution of such workflows. In this article, we discuss in detail orchestration requirements of these workflows as well as the challenges in achieving these requirements. We also survey current trends and research that supports orchestration of big data workflows and identify open research challenges to guide future developments in this area.","[Mutaz Barika, Saurabh Garg, Albert Y. Zomaya, Lizhe Wang]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Australia, Australia, Australia, P. R China]",13 September 2019,13,"[University of Tasmania, Tasmania, Australia, University of Tasmania, Tasmania, Australia, University of Sydney, New South Wales, Australia, China University of Geoscience (Wuhan), Wuhan, P. R China]",September,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[University of Tasmania, University of Tasmania, University of Sydney, China University of Geoscience (Wuhan)]",ACM,2019,63ae010034ac983172e7ec84
"This article provides a systematic review of cloud pricing in an interdisciplinary approach. It examines many historical cases of pricing in practice and tracks down multiple roots of pricing in research. The aim is to help both cloud service provider (CSP) and cloud customers to capture the essence of cloud pricing when they need to make a critical decision either to achieve competitive advantages or to manage cloud resource effectively. Currently, the number of available pricing schemes in the cloud market is overwhelming. It is an intricate issue to understand these schemes and associated pricing models clearly due to involving several domains of knowledge, such as cloud technologies, microeconomics, operations research, and value theory. Some earlier studies have introduced this topic unsystematically. Their approaches inevitably lead to much confusion for many cloud decision-makers. To address their weaknesses, we present a comprehensive taxonomy of cloud pricing, which is driven by a framework of three fundamental pricing strategies that are built on nine cloud pricing categories. These categories can be further mapped onto a total of 60 pricing models. Many of the pricing models have been already adopted by CSPs. Others have been widespread across in other industries. We give descriptions of these model categories and highlight both advantages and disadvantages. Moreover, this article offers an extensive survey of many cloud pricing models that were proposed by many researchers during the past decade. Based on the survey, we identify four trends of cloud pricing and the general direction, which is moving from intrinsic value per physical box to extrinsic value per serverless sandbox. We conclude that hyper-converged cloud resources pool supported by cloud orchestration, virtual machine, Open Application Programming Interface, and serverless sandbox will drive the future of cloud pricing.","[Caesar Wu, Rajkumar Buyya, Kotagiri Ramamohanarao]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Australia, Australia, Australia]",16 October 2019,16,"[Cloud Computing and Distributed Systems (CLOUDS) Lab, School of Computing and Information Systems, The University of Melbourne, Victoria 3010, Australia, Cloud Computing and Distributed Systems (CLOUDS) Lab, School of Computing and Information Systems, The University of Melbourne, Victoria 3010, Australia, Cloud Computing and Distributed Systems (CLOUDS) Lab, School of Computing and Information Systems, The University of Melbourne, Victoria 3010, Australia]",October,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Cloud Computing and Distributed Systems (CLOUDS) Lab, Cloud Computing and Distributed Systems (CLOUDS) Lab, Cloud Computing and Distributed Systems (CLOUDS) Lab]",ACM,2019,63ae010034ac983172e7ec85
"Mixed reality (MR) technology development is now gaining momentum due to advances in computer vision, sensor fusion, and realistic display technologies. With most of the research and development focused on delivering the promise of MR, the privacy and security implications of this technology are yet to be thoroughly investigated. This survey article aims to put in to light these risks and to look into the latest security and privacy work on MR. Specifically, we list and review the different protection approaches that have been proposed to ensure user and data security and privacy in MR. We extend the scope to include work on related technologies such as augmented reality, virtual reality, and human-computer interaction as crucial components, if not the origins, of MR, as well as numerous related work from the larger area of mobile devices, wearables, and Internet-of-Things. We highlight the lack of investigation, implementation, and evaluation of data protection approaches in MR. Further challenges and directions on MR security and privacy are also discussed.","[Jaybie A. De Guzman, Kanchana Thilakarathna, Aruna Seneviratne]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Australia, Australia, CSIRO]",23 October 2019,23,"[University of New South Wales, Australia and Data 61, CSIRO, Australia, University of Sydney and Data 61, CSIRO, Australia, University of New South Wales and Data 61, CSIRO]",October,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[University of New South Wales, University of Sydney and Data 61, University of New South Wales and Data 61]",ACM,2019,63ae010034ac983172e7ec86
"Blockchain technology has been gaining visibility owing to its ability to enhance the security, reliability, and robustness of distributed systems. Several areas have benefited from research based on this technology, such as finance, remote sensing, data analysis, and healthcare. Data immutability, privacy, transparency, decentralization, and distributed ledgers are the main features that make blockchain an attractive technology. However, healthcare records that contain confidential patient data make this system very complicated because there is a risk of a privacy breach. This study aims to address research into the applications of the blockchain healthcare area. It sets out by discussing the management of medical information, as well as the sharing of medical records, image sharing, and log management. We also discuss papers that intersect with other areas, such as the Internet of Things, the management of information, tracking of drugs along their supply chain, and aspects of security and privacy. As we are aware that there are other surveys of blockchain in healthcare, we analyze and compare both the positive and negative aspects of their papers. Finally, we seek to examine the concepts of blockchain in the medical area, by assessing their benefits and drawbacks and thus giving guidance to other researchers in the area. Additionally, we summarize the methods used in healthcare per application area and show their pros and cons.","[Erikson Júlio De Aguiar, Bruno S. Faiçal, Bhaskar Krishnamachari, Jó Ueyama]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Brazil, Brazil, CA, Brazil]",20 March 2020,20,"[University of São Paulo, Brazil, University of São Paulo, Brazil, University of Southern California, Los Angeles, CA, University of São Paulo, Brazil]",March,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[University of São Paulo, University of São Paulo, University of Southern California, University of São Paulo]",ACM,2020,63ae010034ac983172e7ec87
"Blockchain technology can be extensively applied in diverse services, including online micro-payments, supply chain tracking, digital forensics, health-care record sharing, and insurance payments. Extending the technology to the Internet of things (IoT), we can obtain a verifiable and traceable IoT network. Emerging research in IoT applications exploits blockchain technology to record transaction data, optimize current system performance, or construct next-generation systems, which can provide additional security, automatic transaction management, decentralized platforms, offline-to-online data verification, and so on. In this article, we conduct a systematic survey of the key components of IoT blockchain and examine a number of popular blockchain applications.","[Laphou Lao, Zecheng Li, Songlin Hou, Bin Xiao, Songtao Guo, Yuanyuan Yang]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[China, China, China, China, China, America]",06 February 2020,6,"[The Hong Kong Polytechnic University, China, The Hong Kong Polytechnic University, China, The Hong Kong Polytechnic University, China, The Hong Kong Polytechnic University, China, Chongqing University, China, Stony Brook University, New York, America]",February,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[The Hong Kong Polytechnic University, The Hong Kong Polytechnic University, The Hong Kong Polytechnic University, The Hong Kong Polytechnic University, Chongqing University, Stony Brook University]",ACM,2020,63ae010034ac983172e7ec88
"Blockchains are a topic of immense interest in academia and industry, but their true nature is often obscured by marketing and hype. In this tutorial, we explain the fundamental elements of blockchains. We discuss their ability to achieve availability, consistency, and data integrity as well as their inherent limitations. Using Ethereum as a case study, we describe the inner workings of blockchains in detail before comparing blockchains to traditional distributed systems. In the second part of our tutorial, we discuss the major challenges facing blockchains and summarize ongoing research and commercial offerings that seek to address these challenges.","[John Kolb, Moustafa AbdelBaky, Randy H. Katz, David E. Culler]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[USA, USA, USA, USA]",06 February 2020,6,"[University of California -- Berkeley, CA, USA, University of California -- Berkeley, CA, USA, University of California -- Berkeley, CA, USA, University of California -- Berkeley, CA, USA]",February,ACM Computing Surveys,Q1,ACM Computing Surveys,TUTORIAL,"[University of California -- Berkeley, University of California -- Berkeley, University of California -- Berkeley, University of California -- Berkeley]",ACM,2020,63ae010034ac983172e7ec89
"Security and privacy of users have become significant concerns due to the involvement of the Internet of Things (IoT) devices in numerous applications. Cyber threats are growing at an explosive pace making the existing security and privacy measures inadequate. Hence, everyone on the Internet is a product for hackers. Consequently, Machine Learning (ML) algorithms are used to produce accurate outputs from large complex databases, where the generated outputs can be used to predict and detect vulnerabilities in IoT-based systems. Furthermore, Blockchain (BC) techniques are becoming popular in modern IoT applications to solve security and privacy issues. Several studies have been conducted on either ML algorithms or BC techniques. However, these studies target either security or privacy issues using ML algorithms or BC techniques, thus posing a need for a combined survey on efforts made in recent years addressing both security and privacy issues using ML algorithms and BC techniques. In this article, we provide a summary of research efforts made in the past few years, from 2008 to 2019, addressing security and privacy issues using ML algorithms and BC techniques in the IoT domain. First, we discuss and categorize various security and privacy threats reported in the past 12 years in the IoT domain. We then classify the literature on security and privacy efforts based on ML algorithms and BC techniques in the IoT domain. Finally, we identify and illuminate several challenges and future research directions using ML algorithms and BC techniques to address security and privacy issues in the IoT domain.","[Nazar Waheed, Xiangjian He, Muhammad Ikram, Muhammad Usman, Saad Sajid Hashmi, Muhammad Usman]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Australia, Australia, Australia, United Kingdom, Australia, Australia]",06 December 2020,6,"[University of Technology Sydney, Sydney, New South Wales, Australia, University of Technology Sydney, Sydney, New South Wales, Australia, Macquarie University, North Ryde, New South Wales, Australia, University of South Wales, Pontypridd, Rhondda Cynon Taff, United Kingdom, Macquarie University, North Ryde, New South Wales, Australia, Federation University Victoria, Australia]",December,ACM Computing Surveys,Q1,ACM Computing Surveys,RESEARCH-ARTICLE,"[University of Technology Sydney, University of Technology Sydney, Macquarie University, University of South Wales, Macquarie University, Federation University Victoria]",ACM,2020,63ae010034ac983172e7ec8a
"The demand for Blockchain innovation and the significance of its application has inspired ever-progressing exploration in various scientific and practical areas. Even though it is still in the initial testing stage, the blockchain is being viewed as a progressive solution to address present-day technology concerns, such as decentralization, identity, trust, character, ownership of data, and information-driven choices. Simultaneously, the world is facing an increase in the diversity and quantity of digital information produced by machines and users. While effectively looking for the ideal approach to storing and processing cloud data, the blockchain innovation provides significant inputs. This article reviews the application of blockchain technology for securing cloud storage.","[Pratima Sharma, Rajni Jindal, Malaya Dutta Borah]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[India, India, India]",03 August 2020,3,"[Delhi Technological University, Delhi, India, Delhi Technological University, Delhi, India, National Institute of Technology Silchar, Assam, India]",August,ACM Computing Surveys,Q1,ACM Computing Surveys,TUTORIAL,"[Delhi Technological University, Delhi Technological University, National Institute of Technology Silchar]",ACM,2020,63ae010034ac983172e7ec8b
"Blockchain technology has gained tremendous popularity both in practice and academia. The goal of this article is to develop a coherent overview of the state of the art in blockchain technology, using a systematic (i.e., protocol-based, replicable), multivocal (i.e., featuring both white and grey literature alike) literature review to (1) define blockchain technology, (2) elaborate on its architecture options and (3) tradeoffs, as well as to understand (4) the current applications and challenges, as evident from the state of the art. We derive a systematic definition of blockchain technology, based on a formal concept analysis. Further, we flesh out an overview of blockchain technology elaborated by means of Grounded-Theory.","[Bert-Jan Butijn, Damian A. Tamburri, Willem-Jan van den Heuvel]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[The Netherlands, The Netherlands, The Netherlands]",04 July 2020,4,"[Tilburg University, Tilburg, The Netherlands, Eindhoven University of Technology, Eindhoven, The Netherlands, Tilburg University, Tilburg, The Netherlands]",July,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Tilburg University, Eindhoven University of Technology, Tilburg University]",ACM,2020,63ae010034ac983172e7ec8c
