Rank;Sourceid;Title;Issn;SJR;Year;SJR Best Quartile;Categories
44;21100826569;Nature Reviews Chemistry;23973358;11,811;2021;Q1;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
45;17700156734;Nature Reviews Clinical Oncology;17594782, 17594774;11,764;2021;Q1;Oncology (Q1)
46;12354;Lancet Oncology, The;14702045, 14745488;11,71;2021;Q1;Oncology (Q1)
47;5200152704;Nature Nanotechnology;17483387, 17483395;11,698;2021;Q1;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
48;16860;Lancet Neurology, The;14744465, 14744422;11,674;2021;Q1;Neurology (clinical) (Q1)
49;16161;Review of Financial Studies;14657368, 08939454;11,67;2021;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
50;17500155114;Energy and Environmental Science;17545692, 17545706;11,558;2021;Q1;"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
51;21100804406;Lancet Public Health, The;24682667;11,372;2021;Q1;Public Health, Environmental and Occupational Health (Q1)
52;20425;Nature Reviews Drug Discovery;14741784, 14741776;11,296;2021;Q1;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
53;21100220495;Lancet Respiratory Medicine,The;22132619, 22132600;11,12;2021;Q1;Pulmonary and Respiratory Medicine (Q1)
54;5700165152;Nature Photonics;17494885;10,991;2021;Q1;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
55;20191;Academy of Management Journal;14273;10,874;2021;Q1;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
56;21100834904;Joule;25424351;10,451;2021;Q1;Energy (miscellaneous) (Q1)
57;24379;Journal of Financial Economics;0304405X;10,418;2021;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
58;22471;Lancet Infectious Diseases, The;14744457, 14733099;10,236;2021;Q1;Infectious Diseases (Q1)
59;71056;MMWR Surveillance Summaries;15458636, 15460738;10,129;2021;Q1;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
60;11300153736;Annual Review of Pathology: Mechanisms of Disease;15534006, 15534014;10,113;2021;Q1;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
61;19900191767;American Economic Journal: Applied Economics;19457790, 19457782;10,079;2021;Q1;Economics, Econometrics and Finance (miscellaneous) (Q1)
62;29093;Cancer Cell;15356108, 18783686;9,975;2021;Q1;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
63;18606;Molecular Cell;10974164, 10972765;9,959;2021;Q1;"Cell Biology (Q1); Molecular Biology (Q1)"
64;19014;Nature Cell Biology;14764679, 14657392;9,897;2021;Q1;Cell Biology (Q1)
65;19900191885;American Economic Journal: Macroeconomics;19457707, 19457715;9,804;2021;Q1;Economics, Econometrics and Finance (miscellaneous) (Q1)
66;21100237403;Lancet Diabetes and Endocrinology,The;22138595, 22138587;9,767;2021;Q1;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
67;22401;Journal of the American College of Cardiology;15583597, 07351097;9,756;2021;Q1;Cardiology and Cardiovascular Medicine (Q1)
68;21100773752;Nature Microbiology;20585276;9,69;2021;Q1;"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)"
69;26756;Astronomy and Astrophysics Review;09354956, 14320754;9,607;2021;Q1;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
70;16721;Annual Review of Plant Biology;15452123, 15435008;9,575;2021;Q1;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
71;21706;Annual Review of Genetics;15452948, 00664197;9,498;2021;Q1;Genetics (Q1)
72;27165;Journal of Economic Literature;220515;9,445;2021;Q1;Economics and Econometrics (Q1)
73;23157;Strategic Management Journal;10970266, 01432095;9,443;2021;Q1;"Business and International Management (Q1); Strategy and Management (Q1)"
74;19700188417;Annual Review of Condensed Matter Physics;19475454, 19475462;9,438;2021;Q1;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
75;17700156208;Nature Reviews Gastroenterology and Hepatology;17595045, 17595053;9,409;2021;Q1;"Gastroenterology (Q1); Hepatology (Q1)"
76;29949;Journal of Clinical Oncology;15277755, 0732183X;9,378;2021;Q1;"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
77;5300152732;Cell Host and Microbe;19313128;9,373;2021;Q1;"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
78;40944;Genome Biology;14747596;9,371;2021;Q1;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
79;146172;Cell Metabolism;15504131;9,297;2021;Q1;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)"
80;21315;Nature Immunology;15292908, 15292916;9,135;2021;Q1;"Immunology (Q1); Immunology and Allergy (Q1)"
81;20313;Nature Reviews Microbiology;17401534, 17401526;9,103;2021;Q1;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)"
82;21100972445;Nature Reviews Physics;25225820;8,971;2021;Q1;Physics and Astronomy (miscellaneous) (Q1)
83;19651;Clinical Microbiology Reviews;08938512, 10986618;8,964;2021;Q1;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
84;17899;Progress in Materials Science;18732208, 00796425;8,941;2021;Q1;Materials Science (miscellaneous) (Q1)
85;21100356804;Lancet Psychiatry,The;22150374, 22150366;8,932;2021;Q1;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
86;21100265444;Lancet Global Health,The;2214109X;8,845;2021;Q1;Medicine (miscellaneous) (Q1)
87;26978;Advances in Physics;14606976, 00018732;8,837;2021;Q1;Condensed Matter Physics (Q1)
88;12010;Annual Review of Psychology;00664308, 15452085;8,804;2021;Q1;Psychology (miscellaneous) (Q1)
89;19881;Advanced Materials;09359648, 15214095;8,663;2021;Q1;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
90;21100863710;Annual Review of Organizational Psychology and Organizational Behavior;23270608;8,656;2021;Q1;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
91;19900191884;American Economic Journal: Economic Policy;19457731, 1945774X;8,636;2021;Q1;Economics, Econometrics and Finance (miscellaneous) (Q1)
92;28711;Annals of Oncology;15698041, 09237534;8,59;2021;Q1;"Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
93;17700156440;Nature Reviews Endocrinology;17595037, 17595029;8,561;2021;Q1;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
94;28599;Reviews of Geophysics;87551209;8,527;2021;Q1;Geophysics (Q1)
95;12394;Nature Structural and Molecular Biology;15459993, 15459985;8,497;2021;Q1;"Molecular Biology (Q1); Structural Biology (Q1)"
96;19584;Annual Review of Public Health;01637525, 15452093;8,451;2021;Q1;"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
97;21100780831;Nature Reviews Disease Primers;2056676X;8,409;2021;Q1;Medicine (miscellaneous) (Q1)
98;18100156701;Nature Chemistry;17554330, 17554349;8,384;2021;Q1;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
99;21100826360;JAMA Cardiology;23806583, 23806591;8,324;2021;Q1;Cardiology and Cardiovascular Medicine (Q1)
100;21100884663;Nature Electronics;25201131;8,302;2021;Q1;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)"
101;22581;Circulation;00097322, 15244539;8,281;2021;Q1;"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)"
102;24254;IEEE Transactions on Pattern Analysis and Machine Intelligence;1628828;8,269;2021;Q1;"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
103;24204;Review of Economics and Statistics;00346535, 15309142;8,245;2021;Q1;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
104;14204;Nucleic Acids Research;03051048, 13624962;8,241;2021;Q1;Genetics (Q1)
105;21100199127;Advanced Energy Materials;16146832, 16146840;8,226;2021;Q1;"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
106;21100462963;Psychological science in the public interest : a journal of the American Psychological Society;21600031;7,972;2021;Q1;Medicine (miscellaneous) (Q1)
107;17437;Nature Reviews Neuroscience;14710048, 1471003X;7,944;2021;Q1;Neuroscience (miscellaneous) (Q1)
108;6100153018;Cell Stem Cell;19345909;7,935;2021;Q1;"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)"
109;28366;Gut;14683288, 00175749;7,885;2021;Q1;Gastroenterology (Q1)
110;13900;Cell Research;17487838, 10010602;7,804;2021;Q1;"Cell Biology (Q1); Molecular Biology (Q1)"
111;28980;Journal of Economic Perspectives;8953309;7,785;2021;Q1;Economics and Econometrics (Q1)
112;17700156408;Nature Reviews Neurology;17594766, 17594758;7,736;2021;Q1;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
113;28330;Gastroenterology;15280012, 00165085;7,689;2021;Q1;"Gastroenterology (Q1); Hepatology (Q1)"
114;12812;Personality and Social Psychology Review;10888683, 15327957;7,66;2021;Q1;Social Psychology (Q1)
115;20206;Academy of Management Review;3637425;7,618;2021;Q1;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
116;17600155130;NCHS data brief;19414927, 19414935;7,585;2021;Q1;Medicine (miscellaneous) (Q1)
117;4000151822;Nature Physics;17452473;7,568;2021;Q1;Physics and Astronomy (miscellaneous) (Q1)
118;17978;Neuron;10974199, 08966273;7,556;2021;Q1;Neuroscience (miscellaneous) (Q1)
119;13443;Psychological Bulletin;00332909, 19391455;7,504;2021;Q1;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
120;21100420583;JAMA Oncology;23742445, 23742437;7,502;2021;Q1;"Cancer Research (Q1); Oncology (Q1)"
121;21100778657;Acta Crystallographica Section D: Structural Biology;20597983;7,498;2021;Q1;Structural Biology (Q1)
122;21101047377;EnergyChem;25897780;7,488;2021;Q1;"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1)"
123;21100228100;Advances in Optics and Photonics;19438206;7,473;2021;Q1;"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)"
124;22657;Accounts of Chemical Research;00014842, 15204898;7,469;2021;Q1;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
125;22951;Journal of Marketing;15477185, 00222429;7,461;2021;Q1;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
126;4600151524;Annual Review of Clinical Psychology;15485951, 15485943;7,45;2021;Q1;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
127;19066;Trends in Cell Biology;09628924, 18793088;7,413;2021;Q1;Cell Biology (Q1)
128;21100832985;ACS Energy Letters;23808195;7,362;2021;Q1;"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
129;25297;Journal of Hepatology;16000641, 01688278;7,351;2021;Q1;Hepatology (Q1)
130;29838;Journal of Accounting and Economics;1654101;7,346;2021;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
131;14181;Annual Review of Neuroscience;0147006X, 15454126;7,269;2021;Q1;Neuroscience (miscellaneous) (Q1)
132;21272;Journal of Experimental Medicine;00221007, 15409538;7,265;2021;Q1;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
133;12000154482;Annual Review of Biophysics;19361238, 1936122X;7,164;2021;Q1;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
134;24972;ACM Transactions on Graphics;15577368, 07300301;7,148;2021;Q1;Computer Graphics and Computer-Aided Design (Q1)
135;21789;Manufacturing and Service Operations Management;15265498, 15234614;7,127;2021;Q1;"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
136;20635;Journal of Management;01492063, 15571211;7,121;2021;Q1;"Finance (Q1); Strategy and Management (Q1)"
137;21100926579;Review of Corporate Finance Studies;20469136, 20469128;7,118;2021;Q1;"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1)"
138;22899;Journal of Consumer Research;00935301, 15375277;7,117;2021;Q1;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
139;5800207366;Nature Protocols;17542189;7,063;2021;Q1;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
140;21101046230;Electrochemical Energy Reviews;25208136;7,061;2021;Q1;"Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1)"
141;21100394875;Cell Systems;24054712;7,048;2021;Q1;"Cell Biology (Q1); Histology (Q1); Pathology and Forensic Medicine (Q1)"
142;19700173023;Living Reviews in Solar Physics;16144961, 23673648;6,921;2021;Q1;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
143;12429;Molecular Cancer;14764598;6,896;2021;Q1;"Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)"
144;16512;Review of Educational Research;00346543, 19351046;6,887;2021;Q1;Education (Q1)
145;22324;Organization Science;15265455, 10477039;6,871;2021;Q1;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
146;26038;Endocrine Reviews;19457189, 0163769X;6,86;2021;Q1;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
147;19700200701;Annual Review of Economics;19411383, 19411391;6,847;2021;Q1;Economics and Econometrics (Q1)
148;72242;International Journal of Computer Vision;09205691, 15731405;6,838;2021;Q1;"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
149;27538;Progress in Energy and Combustion Science;3601285;6,777;2021;Q1;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
150;21100201772;Physical Review X;21603308;6,735;2021;Q1;Physics and Astronomy (miscellaneous) (Q1)
151;17700156509;Nature Reviews Cardiology;17595010, 17595002;6,721;2021;Q1;Cardiology and Cardiovascular Medicine (Q1)
152;120008;Annual Review of Physiology;00664278, 15451585;6,709;2021;Q1;Physiology (Q1)
153;24721;Annals of Mathematics;0003486X;6,677;2021;Q1;"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
154;18567;Fungal Diversity;15602745, 18789129;6,674;2021;Q1;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
155;21100942855;Lancet Rheumatology, The;26659913;6,633;2021;Q1;"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
156;17700156202;Nature Reviews Nephrology;1759507X, 17595061;6,623;2021;Q1;Nephrology (Q1)
157;23714;Marketing Science;07322399, 1526548X;6,584;2021;Q1;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
158;21100886132;Science Robotics;24709476;6,569;2021;Q1;"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)"
159;22126;Genes and Development;15495477, 08909369;6,535;2021;Q1;"Developmental Biology (Q1); Genetics (Q1)"
160;25491;Diabetes Care;19355548, 01495992;6,528;2021;Q1;"Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
161;4700152228;Molecular Systems Biology;17444292;6,523;2021;Q1;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
162;15388;Journal of Applied Psychology;19391854, 00219010;6,445;2021;Q1;Applied Psychology (Q1)
163;17814;Materials Science and Engineering: R: Reports;0927796X;6,443;2021;Q1;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
164;19614;Annual Review of Microbiology;00664227, 15453251;6,395;2021;Q1;"Medicine (miscellaneous) (Q1); Microbiology (Q1)"
165;18395;Annual Review of Cell and Developmental Biology;15308995, 10810706;6,375;2021;Q1;"Cell Biology (Q1); Developmental Biology (Q1)"
166;13649;Annals of Statistics;905364;6,35;2021;Q1;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
167;29229;Physics Reports;3701573;6,327;2021;Q1;Physics and Astronomy (miscellaneous) (Q1)
168;18902;IEEE Journal on Selected Areas in Communications;7338716;6,32;2021;Q1;"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)"
169;24769;Materials Today;13697021;6,3;2021;Q1;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
170;21100228519;JAMA Neurology;21686157, 21686149;6,278;2021;Q1;Neurology (clinical) (Q1)
171;13531;Journal of the Royal Statistical Society. Series B: Statistical Methodology;14679868, 13697412;6,251;2021;Q1;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
172;15359;Trends in Cognitive Sciences;1879307X, 13646613;6,222;2021;Q1;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
173;21100932733;Nature Metabolism;25225812;6,201;2021;Q1;"Cell Biology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Physiology (medical) (Q1)"
174;21101023100;Nature Cancer;26621347;6,186;2021;Q1;"Cancer Research (Q1); Oncology (Q1)"
175;19897;European Urology;03022838, 1421993X;6,184;2021;Q1;Urology (Q1)
176;14305;Systematic Biology;1076836X, 10635157;6,183;2021;Q1;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
177;21100198409;Nature Climate Change;17586798, 1758678X;6,134;2021;Q1;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
178;19133;Annual Review of Entomology;00664170, 15454487;6,09;2021;Q1;"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)"
179;21100212318;Cancer Discovery;21598274, 21598290;6,084;2021;Q1;Oncology (Q1)
180;25037;IEEE Transactions on Evolutionary Computation;1089778X;6,078;2021;Q1;"Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1)"
181;85291;JAMA - Journal of the American Medical Association;15383598, 00987484, 00029955;6,076;2021;Q1;Medicine (miscellaneous) (Q1)
182;21100788876;Chem;24519294;6,073;2021;Q1;"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)"
183;18935;IEEE Wireless Communications;15361284;6,06;2021;Q1;"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
184;21100922606;Lancet Digital Health, The;25897500;6,024;2021;Q1;"Decision Sciences (miscellaneous) (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)"
185;15090;Progress in Retinal and Eye Research;13509462, 18731635;6,022;2021;Q1;"Ophthalmology (Q1); Sensory Systems (Q1)"
186;21101027628;Cell Reports Medicine;26663791;5,956;2021;Q1;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
187;18000;American Journal of Respiratory and Critical Care Medicine;1073449X, 15354970;5,95;2021;Q1;"Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1)"
188;16929;American Sociological Review;00031224, 19398271;5,944;2021;Q1;Sociology and Political Science (Q1)
189;21100786228;Lancet Gastroenterology and Hepatology, The;24681253;5,927;2021;Q1;"Gastroenterology (Q1); Hepatology (Q1)"
190;29857;Journal of Accounting Research;1475679X, 00218456;5,922;2021;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
191;11300153407;JACC: Cardiovascular Imaging;1936878X, 18767591;5,914;2021;Q1;"Cardiology and Cardiovascular Medicine (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
192;26465;Progress in Polymer Science;796700;5,886;2021;Q1;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
193;23860;Journal of Business Venturing;8839026;5,829;2021;Q1;"Business and International Management (Q1); Management of Technology and Innovation (Q1)"
194;15557;American Political Science Review;15375943, 00030554;5,816;2021;Q1;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
