Rank;Sourceid;Title;Issn;SJR;SJR Best Quartile;Year;Categories
40;17500155114;Energy and Environmental Science;17545692, 17545706;13,024;Q1;2019;"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
41;16161;Review of Financial Studies;14657368, 08939454;12,837;Q1;2019;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
42;19900191906;Academy of Management Annals;19416520, 19416067;12,595;Q1;2019;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
43;16115;Nature Biotechnology;15461696, 10870156;12,565;Q1;2019;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
44;21100780831;Nature Reviews Disease Primers;2056676X;12,268;Q1;2019;Medicine (miscellaneous) (Q1)
45;24379;Journal of Financial Economics;0304405X;11,999;Q1;2019;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
46;20798;Immunity;10974180, 10747613;11,977;Q1;2019;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
47;29093;Cancer Cell;15356108, 18783686;11,909;Q1;2019;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
48;18395;Annual Review of Cell and Developmental Biology;15308995, 10810706;11,782;Q1;2019;"Cell Biology (Q1); Developmental Biology (Q1)"
49;20246;Journal of Labor Economics;0734306X, 15375307;11,572;Q1;2019;"Economics and Econometrics (Q1); Industrial Relations (Q1)"
50;16036;Administrative Science Quarterly;00018392, 19303815;11,493;Q1;2019;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
51;16860;Lancet Neurology, The;14744465, 14744422;11,258;Q1;2019;Neurology (clinical) (Q1)
52;20191;Academy of Management Journal;14273;11,19;Q1;2019;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
53;21100862548;Nature Catalysis;25201158;11,104;Q1;2019;"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)"
54;18606;Molecular Cell;10974164, 10972765;11,075;Q1;2019;"Cell Biology (Q1); Molecular Biology (Q1)"
55;16721;Annual Review of Plant Biology;15452123, 15435008;10,836;Q1;2019;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
56;146172;Cell Metabolism;15504131;10,81;Q1;2019;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)"
57;28677;Living Reviews in Relativity;14338351, 23673613;10,803;Q1;2019;Physics and Astronomy (miscellaneous) (Q1)
58;19900191767;American Economic Journal: Applied Economics;19457790, 19457782;10,788;Q1;2019;Economics, Econometrics and Finance (miscellaneous) (Q1)
59;19881;Advanced Materials;09359648, 15214095;10,571;Q1;2019;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
60;120008;Annual Review of Physiology;00664278, 15451585;10,545;Q1;2019;Physiology (Q1)
61;14181;Annual Review of Neuroscience;0147006X, 15454126;10,311;Q1;2019;Neuroscience (miscellaneous) (Q1)
62;12010;Annual Review of Psychology;00664308, 15452085;10,232;Q1;2019;Psychology (miscellaneous) (Q1)
63;24004;Physiological Reviews;15221210, 00319333;10,153;Q1;2019;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
64;29949;Journal of Clinical Oncology;15277755, 0732183X;10,054;Q1;2019;"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
65;22401;Journal of the American College of Cardiology;15583597, 07351097;9,989;Q1;2019;Cardiology and Cardiovascular Medicine (Q1)
66;18100156701;Nature Chemistry;17554330, 17554349;9,927;Q1;2019;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
67;19014;Nature Cell Biology;14764679, 14657392;9,916;Q1;2019;Cell Biology (Q1)
68;17700156734;Nature Reviews Clinical Oncology;17594782, 17594774;9,882;Q1;2019;Oncology (Q1)
69;27165;Journal of Economic Literature;220515;9,677;Q1;2019;Economics and Econometrics (Q1)
70;17978;Neuron;10974199, 08966273;9,527;Q1;2019;Neuroscience (miscellaneous) (Q1)
71;21100199127;Advanced Energy Materials;16146832, 16146840;9,513;Q1;2019;"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
72;19066;Trends in Cell Biology;09628924, 18793088;9,496;Q1;2019;Cell Biology (Q1)
73;40944;Genome Biology;14747596;9,479;Q1;2019;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
74;12137;Journal of Statistical Software;15487660;9,444;Q1;2019;"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
75;28599;Reviews of Geophysics;87551209;9,345;Q1;2019;Geophysics (Q1)
76;6100153018;Cell Stem Cell;19345909;9,34;Q1;2019;"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)"
77;21100834904;Joule;25424351;9,34;Q1;2019;Energy (miscellaneous) (Q1)
78;21100237403;Lancet Diabetes and Endocrinology,The;22138595, 22138587;9,337;Q1;2019;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
79;21315;Nature Immunology;15292908, 15292916;9,283;Q1;2019;"Immunology (Q1); Immunology and Allergy (Q1)"
80;22214;Genome Research;15495469, 10889051;9,245;Q1;2019;"Genetics (Q1); Genetics (clinical) (Q1)"
81;6200180159;World Psychiatry;17238617;9,239;Q1;2019;Psychiatry and Mental Health (Q1)
82;13443;Psychological Bulletin;00332909, 19391455;9,231;Q1;2019;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
83;4000151822;Nature Physics;17452473;9,128;Q1;2019;Physics and Astronomy (miscellaneous) (Q1)
84;22471;Lancet Infectious Diseases, The;14744457, 14733099;9,04;Q1;2019;Infectious Diseases (Q1)
85;21706;Annual Review of Genetics;15452948, 00664197;8,931;Q1;2019;Genetics (Q1)
86;14204;Nucleic Acids Research;03051048, 13624962;8,907;Q1;2019;Genetics (Q1)
87;11700154368;Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques;16181913, 00738301;8,89;Q1;2019;Mathematics (miscellaneous) (Q1)
88;12394;Nature Structural and Molecular Biology;15459993, 15459985;8,792;Q1;2019;"Molecular Biology (Q1); Structural Biology (Q1)"
89;12817;Personnel Psychology;00315826, 17446570;8,77;Q1;2019;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
90;28980;Journal of Economic Perspectives;8953309;8,761;Q1;2019;Economics and Econometrics (Q1)
91;21100901949;Nano Futures;23991984;8,711;Q1;2019;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1)"
92;22657;Accounts of Chemical Research;00014842, 15204898;8,693;Q1;2019;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
93;19651;Clinical Microbiology Reviews;08938512, 10986618;8,664;Q1;2019;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
94;22951;Journal of Marketing;15477185, 00222429;8,626;Q1;2019;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
95;24668;Journal of the American Mathematical Society;10886834, 08940347;8,581;Q1;2019;"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
96;19700188417;Annual Review of Condensed Matter Physics;19475454, 19475462;8,574;Q1;2019;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
97;11300153736;Annual Review of Pathology: Mechanisms of Disease;15534006, 15534014;8,508;Q1;2019;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
98;27538;Progress in Energy and Combustion Science;3601285;8,477;Q1;2019;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
99;23157;Strategic Management Journal;10970266, 01432095;8,43;Q1;2019;"Business and International Management (Q1); Strategy and Management (Q1)"
100;19897;European Urology;03022838, 1421993X;8,192;Q1;2019;Urology (Q1)
101;12216;Molecular Biology and Evolution;15371719, 07374038;8,162;Q1;2019;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)"
102;17552;Acta Neuropathologica;00016322, 14320533;8,158;Q1;2019;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
103;17899;Progress in Materials Science;18732208, 00796425;8,137;Q1;2019;Materials Science (miscellaneous) (Q1)
104;29229;Physics Reports;3701573;8,069;Q1;2019;Physics and Astronomy (miscellaneous) (Q1)
105;21100832985;ACS Energy Letters;23808195;8,057;Q1;2019;"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
106;21100265444;Lancet Global Health,The;2214109X;8,055;Q1;2019;Medicine (miscellaneous) (Q1)
107;21100860945;Science immunology;24709468;8,014;Q1;2019;"Immunology (Q1); Immunology and Allergy (Q1)"
108;21100863710;Annual Review of Organizational Psychology and Organizational Behavior;23270608;7,999;Q1;2019;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
109;14816;Trends in Biochemical Sciences;13624326, 03765067, 09680004;7,974;Q1;2019;"Biochemistry (Q1); Molecular Biology (Q1)"
110;21100773752;Nature Microbiology;20585276;7,922;Q1;2019;"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)"
111;22126;Genes and Development;15495477, 08909369;7,92;Q1;2019;"Developmental Biology (Q1); Genetics (Q1)"
112;19700200701;Annual Review of Economics;19411383, 19411391;7,907;Q1;2019;Economics and Econometrics (Q1)
113;7500153126;Journal of the European Economic Association;15424774, 15424766;7,832;Q1;2019;Economics, Econometrics and Finance (miscellaneous) (Q1)
114;12812;Personality and Social Psychology Review;10888683, 15327957;7,782;Q1;2019;Social Psychology (Q1)
115;24721;Annals of Mathematics;0003486X;7,77;Q1;2019;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
116;28366;Gut;14683288, 00175749;7,763;Q1;2019;Gastroenterology (Q1)
117;21272;Journal of Experimental Medicine;00221007, 15409538;7,757;Q1;2019;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
118;21100198409;Nature Climate Change;17586798, 1758678X;7,735;Q1;2019;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
119;19900191885;American Economic Journal: Macroeconomics;19457707, 19457715;7,711;Q1;2019;Economics, Econometrics and Finance (miscellaneous) (Q1)
120;4600151524;Annual Review of Clinical Psychology;15485951, 15485943;7,696;Q1;2019;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
121;5800207366;Nature Protocols;17542189;7,649;Q1;2019;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
122;24769;Materials Today;13697021;7,609;Q1;2019;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
123;22899;Journal of Consumer Research;00935301, 15375277;7,595;Q1;2019;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
124;21100420583;JAMA Oncology;23742445, 23742437;7,593;Q1;2019;"Cancer Research (Q1); Oncology (Q1)"
125;21100884663;Nature Electronics;25201131;7,561;Q1;2019;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)"
126;21100394875;Cell Systems;24054712;7,556;Q1;2019;"Cell Biology (Q1); Histology (Q1); Pathology and Forensic Medicine (Q1)"
127;17900156715;IEEE Communications Surveys and Tutorials;1553877X;7,553;Q1;2019;Electrical and Electronic Engineering (Q1)
128;19900191884;American Economic Journal: Economic Policy;19457731, 1945774X;7,548;Q1;2019;Economics, Econometrics and Finance (miscellaneous) (Q1)
129;24204;Review of Economics and Statistics;00346535, 15309142;7,538;Q1;2019;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
130;24254;IEEE Transactions on Pattern Analysis and Machine Intelligence;1628828;7,536;Q1;2019;"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
131;21100220495;Lancet Respiratory Medicine,The;22132619, 22132600;7,516;Q1;2019;Pulmonary and Respiratory Medicine (Q1)
132;21100212318;Cancer Discovery;21598274, 21598290;7,513;Q1;2019;Oncology (Q1)
133;20206;Academy of Management Review;3637425;7,482;Q1;2019;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
134;16512;Review of Educational Research;00346543, 19351046;7,474;Q1;2019;Education (Q1)
135;21100201772;Physical Review X;21603308;7,458;Q1;2019;Physics and Astronomy (miscellaneous) (Q1)
136;12000154482;Annual Review of Biophysics;19361238, 1936122X;7,456;Q1;2019;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
137;22581;Circulation;00097322, 15244539;7,446;Q1;2019;"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)"
138;21677;American Journal of Human Genetics;15376605, 00029297;7,376;Q1;2019;"Genetics (Q1); Genetics (clinical) (Q1)"
139;20278;Microbiology and Molecular Biology Reviews;10985557, 10922172;7,365;Q1;2019;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1); Molecular Biology (Q1)"
140;4700152228;Molecular Systems Biology;17444292;7,338;Q1;2019;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
141;22961;Journal of Marketing Research;00222437, 15477193;7,325;Q1;2019;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
142;29709;Reports on Progress in Physics;13616633, 00344885;7,199;Q1;2019;"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
143;19700188395;Annual Review of Marine Science;19410611, 19411405;7,193;Q1;2019;Oceanography (Q1)
144;21191;Pharmacological Reviews;15210081, 00316997;7,179;Q1;2019;"Molecular Medicine (Q1); Pharmacology (Q1)"
145;28418;Brookings Papers on Economic Activity;00072303, 15334465;7,172;Q1;2019;"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)"
146;23714;Marketing Science;07322399, 1526548X;7,172;Q1;2019;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
147;5300152732;Cell Host and Microbe;19313128;7,168;Q1;2019;"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
148;15555;American Journal of Political Science;00925853, 15405907;7,131;Q1;2019;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
149;17435;EMBO Journal;02614189, 14602075;7,086;Q1;2019;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
150;19700174677;Science Translational Medicine;19466234, 19466242;7,03;Q1;2019;Medicine (miscellaneous) (Q1)
151;20425;Nature Reviews Drug Discovery;14741784, 14741776;7,018;Q1;2019;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
152;4000148205;Nature Chemical Biology;15524469, 15524450;7,004;Q1;2019;"Cell Biology (Q1); Molecular Biology (Q1)"
153;29857;Journal of Accounting Research;1475679X, 00218456;6,996;Q1;2019;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
154;20635;Journal of Management;01492063, 15571211;6,982;Q1;2019;"Finance (Q1); Strategy and Management (Q1)"
155;22680;Journal of the American Chemical Society;15205126, 00027863;6,976;Q1;2019;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
156;21100356804;Lancet Psychiatry,The;22150374, 22150366;6,967;Q1;2019;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
157;17814;Materials Science and Engineering: R: Reports;0927796X;6,95;Q1;2019;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
158;18567;Fungal Diversity;15602745, 18789129;6,949;Q1;2019;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
159;15359;Trends in Cognitive Sciences;1879307X, 13646613;6,948;Q1;2019;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
160;110092;Morbidity and Mortality Weekly Report;01492195, 1545861X;6,942;Q1;2019;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
161;21100804406;Lancet Public Health, The;24682667;6,886;Q1;2019;Public Health, Environmental and Occupational Health (Q1)
162;14365;Trends in Ecology and Evolution;01695347, 18728383;6,86;Q1;2019;Ecology, Evolution, Behavior and Systematics (Q1)
163;28330;Gastroenterology;15280012, 00165085;6,85;Q1;2019;"Gastroenterology (Q1); Hepatology (Q1)"
164;21100228547;JAMA Psychiatry;21686238, 2168622X;6,847;Q1;2019;"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
165;25297;Journal of Hepatology;16000641, 01688278;6,817;Q1;2019;Hepatology (Q1)
166;14599;Ecology Letters;1461023X, 14610248;6,731;Q1;2019;Ecology, Evolution, Behavior and Systematics (Q1)
167;13969;Psychological Science in the Public Interest, Supplement;15396053, 15291006;6,728;Q1;2019;Psychology (miscellaneous) (Q1)
168;21100228100;Advances in Optics and Photonics;19438206;6,689;Q1;2019;"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)"
169;17600155130;NCHS data brief;19414927, 19414935;6,675;Q1;2019;Medicine (miscellaneous) (Q1)
170;28978;Journal of Economic Growth;15737020, 13814338;6,666;Q1;2019;Economics and Econometrics (Q1)
171;19049;Trends in Genetics;01689525, 13624555;6,556;Q1;2019;Genetics (Q1)
172;79076;Vital and health statistics. Series 3, Analytical studies;832065;6,553;Q1;2019;Medicine (miscellaneous) (Q1)
173;19614;Annual Review of Microbiology;00664227, 15453251;6,517;Q1;2019;Microbiology (Q1)
174;25491;Diabetes Care;19355548, 01495992;6,48;Q1;2019;"Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
175;13461;Psychological Methods;1082989X, 19391463;6,424;Q1;2019;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
176;15388;Journal of Applied Psychology;19391854, 00219010;6,423;Q1;2019;Applied Psychology (Q1)
177;19700175140;Genome Medicine;1756994X;6,411;Q1;2019;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)"
178;21100369870;Lancet HIV,The;23523018;6,395;Q1;2019;"Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Virology (Q1)"
179;93992;Sentinel event alert / Joint Commission on Accreditation of Healthcare Organizations;-;6,35;Q1;2019;Medicine (miscellaneous) (Q1)
180;14305;Systematic Biology;1076836X, 10635157;6,299;Q1;2019;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
181;17382;Molecular Psychiatry;14765578, 13594184;6,29;Q1;2019;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
182;13531;Journal of the Royal Statistical Society. Series B: Statistical Methodology;14679868, 13697412;6,218;Q1;2019;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
183;26465;Progress in Polymer Science;796700;6,21;Q1;2019;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
184;4700152457;Nano Today;17480132;6,198;Q1;2019;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)"
185;21100788876;Chem;24519294;6,144;Q1;2019;"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)"
186;19136;Annals of the Rheumatic Diseases;00034967, 14682060;6,142;Q1;2019;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
187;13900;Cell Research;17487838, 10010602;6,141;Q1;2019;"Cell Biology (Q1); Molecular Biology (Q1)"
188;21100228546;JAMA Internal Medicine;21686114, 21686106;6,138;Q1;2019;Internal Medicine (Q1)
189;11500153511;ACS Nano;1936086X, 19360851;6,131;Q1;2019;"Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Physics and Astronomy (miscellaneous) (Q1)"
190;17700156208;Nature Reviews Gastroenterology and Hepatology;17595045, 17595053;6,113;Q1;2019;"Gastroenterology (Q1); Hepatology (Q1)"
191;21100261712;Analytic Methods in Accident Research;22136657;6,091;Q1;2019;"Safety Research (Q1); Transportation (Q1)"
